service_code,categoria
LOGGING,DevOps/Tools
NETWORK,Red
TELEMETRY,Desarrollo
Cloud Logging,DevOps/Tools
Cloud Composer,Desarrollo
Cloud Run,Cómputo
Cloud Bigtable,Base de datos
Cloud AutoML,IA/ML
Cloud Machine Learning Engine,IA/ML
Stackdriver Trace,DevOps/Tools
Networking,Red
Data Catalog,Desarrollo
BigQuery Data Transfer Service,Analítica
Firebase Realtime Database,Base de datos
Google Click to Deploy Deep Learning VM,Desarrollo
Container Registry Vulnerability Scanning,IA/ML
Quantum Metric,Desarrollo
AmazonWorkDocs,Desarrollo
AWSShield,Seguridad
AWSGlue,Analítica
AWSDirectConnect,Red
AWSEvents,APIs/Integración
AmazonAthena,Analítica
AmazonEFS,Almacenamiento
AmazonGlacier,Almacenamiento
AWSGlobalAccelerator,Red
AmazonTimestream,Desarrollo
AmazonMQ,APIs/Integración
AmazonGrafana,Desarrollo
AWSIoT,IoT
AmazonForecast,IA/ML
AWSDataTransfer,Desarrollo
AmazonInspector,Seguridad
5psbo41gsi6bj9kuph1af7d7hp,otros
dno0w605c6hq7ro566ugw0qya,otros
AmazonElastiCache,Desarrollo
2wqkpek696qhdeo7lbbjncqli,otros
AmazonS3GlacierDeepArchive,Almacenamiento
AmazonML,IA/ML
wg46ptwda476sas8otff0ynk,otros
Geocoding API,APIs/Integración
AmazonDetective,Desarrollo
DATABASE,Base de datos
OBJECTSTORE,Almacenamiento
BigQuery,Analítica
Cloud Storage,Almacenamiento
Source Repository,DevOps/Tools
Maps API,APIs/Integración
BigQuery Reservation API,Analítica
Cloud CDN,Red
Vertex AI,IA/ML
Secret Manager,Desarrollo
Cloud Data Loss Prevention,Desarrollo
Cloud Data Fusion,Analítica
Cloud Document AI API,IA/ML
Notebooks,Cómputo
Maps Static API,APIs/Integración
Network,Red
AmazonRoute53,Red
AmazonKinesis,Desarrollo
AmazonMacie,Seguridad
AWSSecurityHub,Seguridad
AWSBackup,Almacenamiento
